sample,box,status,note,box_start_new_york,box_end_new_york,box_range_pips,pullback_offset_pips,trade_status,signal_time_new_york,direction,signal_close,signal_band,signal_band_distance_pips,entry_price,signal_minutes_after_box,outcome
51,3,accepted,user said fine,2024-02-07 19:30 EST,2024-02-07 20:25 EST,3.9,22.0,no_trade,2024-02-07 21:00 EST,long,1.07814,1.07802,1.22,1.08022,35.0,signal_close_not_far_enough_for_pullback
51,4,accepted,user said fine,2024-02-07 23:50 EST,2024-02-08 00:20 EST,4.4,22.0,no_signal,,,,,,,,
52,1,accepted,good,2024-11-26 02:15 EST,2024-11-26 02:40 EST,12.4,22.0,no_trade,2024-11-26 03:10 EST,short,1.04719,1.0472,0.09,1.045,30.0,signal_close_not_far_enough_for_pullback
52,2,accepted,good,2024-11-26 05:20 EST,2024-11-26 06:15 EST,11.9,22.0,no_trade,2024-11-26 07:10 EST,long,1.05234,1.05232,0.24,1.05452,55.0,signal_close_not_far_enough_for_pullback
52,4,accepted,good,2024-11-26 12:15 EST,2024-11-26 13:10 EST,10.3,22.0,no_trade,2024-11-26 13:30 EST,short,1.0458,1.04597,1.72,1.04377,20.0,signal_close_not_far_enough_for_pullback
53,1,accepted,correct,2025-06-24 22:50 EST,2025-06-24 23:40 EST,5.7,22.0,no_trade,2025-06-24 23:45 EST,short,1.16163,1.16163,0.01,1.15943,5.0,signal_close_not_far_enough_for_pullback
53,2,accepted,correct,2025-06-25 00:15 EST,2025-06-25 01:10 EST,6.1,22.0,no_trade,2025-06-25 01:55 EST,long,1.16193,1.16192,0.14,1.16412,45.0,signal_close_not_far_enough_for_pullback
53,4,accepted,correct,2025-06-25 07:40 EST,2025-06-25 08:20 EST,8.6,22.0,no_trade,2025-06-25 08:50 EST,short,1.15907,1.1591,0.29,1.1569,30.0,signal_close_not_far_enough_for_pullback
54,1,accepted,all correct,2024-02-07 05:40 EST,2024-02-07 06:20 EST,8.5,22.0,no_trade,2024-02-07 06:30 EST,long,1.07722,1.07713,0.87,1.07933,10.0,signal_close_not_far_enough_for_pullback
54,2,accepted,all correct,2024-02-07 06:40 EST,2024-02-07 07:35 EST,8.0,22.0,no_trade,2024-02-07 08:00 EST,long,1.0776,1.07747,1.28,1.07967,25.0,signal_close_not_far_enough_for_pullback
54,3,accepted,all correct,2024-02-07 12:10 EST,2024-02-07 12:55 EST,6.4,22.0,no_trade,2024-02-07 13:10 EST,long,1.07724,1.07713,1.09,1.07933,15.0,signal_close_not_far_enough_for_pullback
54,4,accepted,all correct,2024-02-07 14:00 EST,2024-02-07 14:55 EST,5.4,22.0,no_signal,,,,,,,,
55,1,questionable,questionable confidence downgrade,2021-09-30 13:40 EST,2021-09-30 14:30 EST,9.0,22.0,no_trade,2021-09-30 14:50 EST,long,1.15806,1.15805,0.1,1.16025,20.0,signal_close_not_far_enough_for_pullback
55,2,accepted,correct,2021-09-30 17:20 EST,2021-09-30 18:15 EST,4.8,22.0,no_trade,2021-09-30 19:10 EST,short,1.1578,1.15788,0.75,1.15568,55.0,signal_close_not_far_enough_for_pullback
55,3,accepted,correct,2021-09-30 19:30 EST,2021-09-30 20:25 EST,7.6,22.0,no_trade,2021-09-30 20:45 EST,short,1.15688,1.15688,0.02,1.15468,20.0,signal_close_not_far_enough_for_pullback
55,4,accepted,correct,2021-09-30 21:55 EST,2021-09-30 22:50 EST,7.6,22.0,no_signal,,,,,,,,
56,1,accepted,correct,2022-08-28 23:15 EST,2022-08-29 00:10 EST,6.6,22.0,no_trade,2022-08-29 00:30 EST,short,0.99184,0.992,1.56,0.9898,20.0,signal_close_not_far_enough_for_pullback
56,2,accepted,correct,2022-08-29 00:35 EST,2022-08-29 01:20 EST,6.3,22.0,no_trade,2022-08-29 01:55 EST,long,0.99238,0.99238,0.03,0.99458,35.0,signal_close_not_far_enough_for_pullback
56,3,accepted,missed marginal shelf around 0400,2022-08-29 03:35 EST,2022-08-29 04:05 EST,12.0,22.0,no_trade,2022-08-29 04:10 EST,short,0.99276,0.99315,3.94,0.99095,5.0,signal_close_not_far_enough_for_pullback
57,1,accepted,all correct,2021-12-27 00:35 EST,2021-12-27 01:30 EST,4.1,22.0,no_trade,2021-12-27 01:40 EST,long,1.132,1.13199,0.15,1.13419,10.0,signal_close_not_far_enough_for_pullback
57,2,accepted,all correct,2021-12-27 01:50 EST,2021-12-27 02:20 EST,4.2,22.0,no_trade,2021-12-27 02:25 EST,long,1.13224,1.1322,0.43,1.1344,5.0,signal_close_not_far_enough_for_pullback
57,3,accepted,all correct,2021-12-27 04:10 EST,2021-12-27 04:50 EST,6.7,22.0,no_trade,2021-12-27 05:30 EST,long,1.1321,1.132,1.05,1.1342,40.0,signal_close_not_far_enough_for_pullback
57,4,accepted,all correct,2021-12-27 08:10 EST,2021-12-27 09:00 EST,5.3,22.0,no_trade,2021-12-27 09:20 EST,long,1.13192,1.13168,2.39,1.13388,20.0,signal_close_not_far_enough_for_pullback
